name,approach_date,diameter_km,velocity_kmph,distance_km,is_hazardous
478784 (2012 UV136),2025-06-02,0.045,49511.25,50442662.03,False
(2015 RQ35),2025-06-02,0.082,11950.19,70450034.1,False
(2016 EL27),2025-06-02,0.036,25733.18,54278219.47,False
(2019 VF1),2025-06-02,0.149,80619.27,23118633.9,False
(2020 XS5),2025-06-02,0.027,40999.06,36304847.9,False
(2021 VO7),2025-06-02,0.279,64641.52,13826677.56,False
(2022 AS6),2025-06-02,0.064,26775.09,67730585.46,False
(2022 FG3),2025-06-02,0.039,45325.82,27072512.95,False
(2025 KC4),2025-06-02,0.039,24010.09,4082303.67,False
(2009 XL8),2025-06-01,0.179,43846.23,42546601.59,False
(2012 XK134),2025-06-01,0.031,21401.77,52836418.93,False
(2014 BM25),2025-06-01,0.014,19837.77,73526422.71,False
(2017 XS),2025-06-01,0.171,67496.54,69708588.1,False
(2018 AG4),2025-06-01,0.036,40099.89,27734097.1,False
(2019 WS1),2025-06-01,0.069,23308.32,26404653.71,False
(2025 DM36),2025-06-01,0.342,46607.4,20654856.95,False
(2025 KP7),2025-06-01,0.121,64623.43,19453555.13,False
(2025 KS8),2025-06-01,0.034,37126.79,2449276.88,False
438908 (2009 XO),2025-06-04,0.445,90938.25,66243008.33,True
(2010 GH7),2025-06-04,0.02,14184.31,58557627.23,False
(2013 BH18),2025-06-04,0.451,11143.81,69348781.23,False
(2014 OL339),2025-06-04,0.165,41431.99,49937060.75,False
(2015 TA25),2025-06-04,0.575,103135.11,69227973.69,False
(2015 XZ1),2025-06-04,0.059,49797.52,25770914.84,False
(2016 AB9),2025-06-04,0.068,48649.64,54590609.13,False
(2016 XF18),2025-06-04,0.09,35981.55,44951204.2,False
(2017 QB35),2025-06-04,0.008,40535.23,42412367.96,False
(2022 NU1),2025-06-04,0.077,27107.27,19768333.16,False
(2024 TP17),2025-06-04,0.086,14976.71,29000928.05,False
(2025 KG),2025-06-04,0.027,12369.67,5832804.14,False
(2025 KA2),2025-06-04,0.238,85120.92,20691877.96,False
(2025 KV8),2025-06-04,0.041,33361.25,1794956.21,False
(2025 KX8),2025-06-04,0.063,29738.92,3205943.26,False
(2025 LB),2025-06-04,0.026,40342.44,151997.94,False
333480 (2004 TC10),2025-06-03,0.525,63099.1,37028655.19,False
(2004 BW18),2025-06-03,0.188,22512.28,69924864.93,False
(2016 OF),2025-06-03,0.14,33478.99,33146837.17,False
(2017 BU93),2025-06-03,0.138,61570.79,55665601.05,False
(2020 CY2),2025-06-03,0.019,20805.03,69302682.46,False
(2023 DM),2025-06-03,0.109,40319.3,21682818.5,False
(2023 JD2),2025-06-03,0.107,70560.23,49398365.09,False
(2024 JJ17),2025-06-03,0.016,65330.12,67420520.17,False
(2025 DN22),2025-06-03,0.171,35000.73,18516664.07,False
(2025 FE15),2025-06-03,0.092,16949.06,17806186.9,False
(2025 LA),2025-06-03,0.026,48476.45,501381.57,False
